Name,Address,MONTH_,DAYS,STARTTIME,ENDTIME,Website,PROGRAM,lng,lat,Borough,Zip Code
79th St Greenmarket,Columbus Avenue and 79th Street,Year Round,Sundays,9:00 AM,1:00 PM,http://www.grownyc.org/compost/locations,GrowNYC,-73.9754869,40.7819529,Manhattan,10024
CLOSED FOR SEASON: 462 Halsey Community Farm Fresh Food Box,462 Halsey Street,"Seasonal - Opening May 26, 2018",Saturdays,11:30 AM,3:30 PM,https://www.grownyc.org/greenmarketco/foodbox; http://www.462halsey.com/compost/,GrowNYC,-73.935667,40.683282,Brooklyn,11233
Mt. Lebanon Fresh Food Box,"Mt. Lebanon Baptist Church, 228 Decatur Street, Brooklyn, NY 11233",December - May,Saturdays,11:30 AM,2:30 PM,https://www.grownyc.org/compost/locations,GrowNYC,-73.934188,40.681374,Brooklyn,11233
Burnside Ave,"Burnside Ave, Jerome Ave - SW Corner",Year Round,Fridays,7:30 AM,10:30 AM,https://www.grownyc.org/compost-go,GrowNYC,-73.9077,40.8534,Bronx,10453
CLOSED FOR SEASON: Parkside Greenmarket,"Ocean Ave & Parkside Ave, Brooklyn, NY 11226","Seasonal Market, June - November",Sundays,9:00 AM,1:00 PM,https://www.grownyc.org/greenmarket/brooklyn/parkside,GrowNYC,-73.96169,40.65507,Brooklyn,11225
Cortelyou Greenmarket,"Cortelyou Rd at Rugby Rd, Brooklyn, NY, 11226",Year Round,Sundays,8:00 AM,1:00 PM,http://www.grownyc.org/compost/locations,GrowNYC,-73.9652999,40.6408302,Brooklyn,11226
CLOSED FOR SEASON: Church of the Mediator/La Iglesia El Mediador,W 231 St & Kingsbridge Ave,"Seasonal, May - November",Tuesdays,8:00 AM,10:00 AM, ,Serviced/Managed by Volunteers from Church of the Mediator,-73.9067806,40.8797653,Bronx,10463
Fordham Road,E Fordham Road & Jerome Ave - SE Corner,Year Round,Fridays,7:15 AM,10:45 AM,https://www.grownyc.org/compost-go,GrowNYC,-73.901042,40.862707,Bronx,10468
Lehman College,Lehman Quad near Shuster Hall,Year Round,Mondays,8:00 AM,10:00 AM, ,Serviced/Managed by Volunteers from Lehman College,-73.8916183,40.8745635,Bronx,10468
Poe Park Greenmarket,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468","Seasonal Market, June - November",Tuesdays,8:00 AM,1:30 PM,http://www.grownyc.org/compost/locations,GrowNYC,-73.8950656,40.8641072,Bronx,10458
Bainbridge Avenue Community Garden,"2980 Bainbridge Avenue, Bronx, NY 10458","Seasonal, June - November",Thursdays,4:00 PM,7:00 PM, ,Serviced/Managed by Volunteers from Bainbridge Avenue Community Garden,-73.883947,40.87094,Bronx,10458
Fordham Plaza,E Fordham Rd btw Webster Ave & Third Ave - S,Year Round,Fridays,7:00 AM,11:00 AM,https://www.grownyc.org/compost-go,GrowNYC,-73.8908,40.86115,Bronx,10458
