ID,Type,Name,Address,Zip Code,Borough
1,SENIOR_CENTER,Community Kitchen and Food Pantry of West Harlem,252 West 116th Street,10026,Manhattan
2,SENIOR_CENTER,Stanley M. Issacs Neighborhood Center Inc.,415 East 93rd Street,10128,Manhattan
3,SENIOR_CENTER,Union Settlement,2205 1st Avenue,10029,Manhattan
4,SENIOR_CENTER,COTHOA Luncheon Club,2005 Amsterdam Avenue,10032,Manhattan
5,SENIOR_CENTER,Project FIND Hamilton Senior Center,141 West 73rd Street,10023,Manhattan
6,SENIOR_CENTER,Project FIND Clinton Senior Center,530 West 55th Street,10019,Manhattan
7,SENIOR_CENTER,Encore Senior Center,239 West 49th Street,10019,Manhattan
8,SENIOR_CENTER,Project FIND Woodstock Senior Center,127 West 43rd Street,10036,Manhattan
9,SENIOR_CENTER,BronxWorks – Heights Senior Center,"200 West Tremont Avenue, 2nd Floor",10453,Bronx
10,SENIOR_CENTER,BronxWorks – East Concourse Senior Center,236 East Tremont Avenue,10457,Bronx
11,SENIOR_CENTER,Project FIND Coffeehouse Senior Center,331 West 42nd Street,10036,Manhattan
12,SENIOR_CENTER,Sunnyside Community Services,43-31 39th Street,11104,"Sunnyside, NYC"
13,SENIOR_CENTER,BronxWorks – Morris Senior Center,80 East 181st Street,10001,Manhattan
14,SENIOR_CENTER,SAGE (Services and Advocacy for GLBT Elders),"305 7th Avenue, 15th Floor",10001,Manhattan
15,SENIOR_CENTER,Hudson Guild Cafe Co-op,119th Ninth Avenue,10011,Manhattan
16,SENIOR_CENTER,R.A.I.N. Boston Road Senior Center,2424 Boston Road,10467,Bronx
17,SENIOR_CENTER,University Settlement Senior Center,189 Allen Street,10002,Manhattan
18,SENIOR_CENTER,Citymeals on Wheels,307 Kent Avenue,11249,Brooklyn
19,SENIOR_CENTER,Young Israel of Forest Hills Senior Center League,68-07 Burns Street,11375,Forest Hills
20,SENIOR_CENTER,Ridgewood Older Adult Center and Services,59-14 70th Avenue,11385,"Ridgewood, NY"
21,SENIOR_CENTER,Korean American Senior Center – Flushing,42-15 166th Street,11358,"Flushing, NY"
22,SENIOR_CENTER,JASA Starrett City Senior Center,1540 Van Siclen Avenue,11239,Brooklyn
23,SENIOR_CENTER,Kings Bay Y Senior Center,3643 Nostrand Avenue,11229,Brooklyn
24,SENIOR_CENTER,Haber House Senior Center,3024 West 24th Street,11224,Brooklyn
25,SENIOR_CENTER,JASA Roy Reuther Senior Center,"711 Seagurt Avenue, Apt#2N",11691,Brooklyn
26,SENIOR_CENTER,Arrochar Friendship Club,85 Jerome Avenue,10305,Staten Island
27,SENIOR_CENTER,Todt Hill Friendship Club,184 Schmidts Lane,10314,Staten Island
28,SENIOR_CENTER,Staten Island Community Services Inc.,11 Sampson Avenue,10308,Staten Island
29,SENIOR_CENTER,New Dorp Beach,11 Sampson Avenue,10308,Staten Island
30,SENIOR_CENTER,Mt. Loretto Friendship Club,6581 Hylan Blvd,10309,Staten Island
