ID,Type,Name,Address,Zip Code,Borough
1,SOUP_KITCHEN,A New Beginning International Ministry,180 East 118th Street,10035,Manhattan
2,SOUP_KITCHEN,Beth Hark Christian Counseling Center,1832 Madison Avenue,10035,Manhattan
3,SOUP_KITCHEN,Mt. Zion AME Church,1765 Madison Avenue,10029,Manhattan
4,SOUP_KITCHEN,The Salvation Army Manhattan Citadel,145 East 125th Street,10035,Manhattan
5,SOUP_KITCHEN,Holy Ghost Pentecostal Church,13-15 East 125th Street,10035,Manhattan
6,SOUP_KITCHEN,New York Common Pantry,8 East 109th Street,10029,Manhattan
7,SOUP_KITCHEN,Mt. Olivet Baptist Church Community Meal Program,201 Lennox Avenue,10027,Manhattan
8,SOUP_KITCHEN,Bowery Mission,227 Bowery,10002,Manhattan
9,SOUP_KITCHEN,Hetrick-Martin Institute,2 Astor Place,10003,Manhattan
10,SOUP_KITCHEN,The Door,555 Broome Street,10013,Manhattan
11,SOUP_KITCHEN,The Village Temple Soup Kitchen,33 E 12th Street,10003,Manhattan
12,SOUP_KITCHEN,St. Joe's Soup Kitchen,371 Sixth Avenue,10014,Manhattan
13,SOUP_KITCHEN,Xavier Mission Inc.,46 West 16th Street,10011,Manhattan
14,SOUP_KITCHEN,The Church of the Village – Hope for Our Neighbors,201 West 13th Street,10011,Manhattan
15,SOUP_KITCHEN,GMHC Meals Program,446 West 33 Street,10001,Manhattan
16,SOUP_KITCHEN,Grand Central Neighborhood Social Service Corp.,120 East 32nd Street,10016,Manhattan
17,SOUP_KITCHEN,Holy Apostles Soup Kitchen,269 9th Avenue,10001,Manhattan
18,SOUP_KITCHEN,Rhow Brooklyn Inc,360 Schermerhorn Street,11217,Brooklyn
19,SOUP_KITCHEN,St. Luke's Lutheran Church,308 West 46th Street,10036,Manhattan
20,SOUP_KITCHEN,Crossroads Community Services,108 East 51st Street,10022,Manhattan
21,SOUP_KITCHEN,Hanson Place SDA Community Service,150 South Portland Avenue,11217,Brooklyn
22,SOUP_KITCHEN,St. Peter's Church,619 Lexington Avenue,10022,Manhattan
23,SOUP_KITCHEN,Central Synagogue Caring Community,123 East 55th Street,10022,Manhattan
24,SOUP_KITCHEN,St. Paul's House Inc.,335 West 51st Street,10019,Manhattan
25,SOUP_KITCHEN,Faith Assemblies,1014-18 Gates Avenue,11221,Brooklyn
26,SOUP_KITCHEN,St. Stephen Outreach Community,874 Myrtle Avenue,11206,Brooklyn
27,SOUP_KITCHEN,Christ Church United Methodist,"520 Park Avenue, 60th Street",10065,Manhattan
28,SOUP_KITCHEN,Church of St. Paul the Apostle,405 West 59th Street,10019,Manhattan
29,SOUP_KITCHEN,St. George's Episcopal Church,800 Marcy Avenue,11216,Brooklyn
30,SOUP_KITCHEN,Crossover Baptist Church Community Outreach Help Center,358 Kosciusko Street,11221,Brooklyn
31,SOUP_KITCHEN,Upper Room Full Gospel Baptist Church,180 Van Buren Street,11221,Brooklyn
32,SOUP_KITCHEN,Calvary Free Will Baptist Church,1520-30 Herkimer Street,11207,Brooklyn
33,SOUP_KITCHEN,Agape Social Services Beulah Ministry **,929 Marcy Avenue,11216,Brooklyn
34,SOUP_KITCHEN,New Haven SDA Church,634 Prospect Place,11216,Brooklyn
35,SOUP_KITCHEN,Church of the Epiphany,1393 York Avenue,10021,Manhattan
36,SOUP_KITCHEN,Hebron SDA Church,1256 Dean Street,11216,Brooklyn
37,SOUP_KITCHEN,St. John's Bread and Life,795 Lexington Avenue,11221,Brooklyn
38,SOUP_KITCHEN,Rutgers Thursday Nighters,236 West 73rd Street,10023,Manhattan
39,SOUP_KITCHEN,Temple Sharaay Tefila,250 East 79th Street,10075,Manhattan
40,SOUP_KITCHEN,Bridge Street Missionary Feeding Program,277 Stuyvesant Avenue,11221,Brooklyn
41,SOUP_KITCHEN,Unitarian Church of All Souls,1157 Lexington Avenue,10021,Manhattan
42,SOUP_KITCHEN,Bethany United Methodist Church,1208 St. Johns Place,11213,Brooklyn
43,SOUP_KITCHEN,Grace Reformed Church of Flatbush,1800 Bedford Avenue,11225,Brooklyn
44,SOUP_KITCHEN,The Salvation Army Bushwick Corps,1151 Bushwick Avenue,11221,Brooklyn
45,SOUP_KITCHEN,Calvary AME Church,790 Herkimer Street,11233,Brooklyn
46,SOUP_KITCHEN,Glover Memorial BC,2134 Dean Street,11233,Brooklyn
47,SOUP_KITCHEN,St. Ignatius Episcopal Church,552 West End Avenue,10024,Manhattan
48,SOUP_KITCHEN,The Other Place,264 West 87th Street,10024,Manhattan
49,SOUP_KITCHEN,The Other Place/Goddard Riverside **,264 West 87th Street,10024,Manhattan
50,SOUP_KITCHEN,St. Peter's Episcopal Love Kitchen **,2500 Westchester Avenue,10461,Bronx
51,SOUP_KITCHEN,Immaculate Conception Church,754 East Gun Hill Road,10467,Bronx
